"fips","name","state","pctExpVote","totalVote","vote_Joe Biden","vote_Donald Trump","vote_Other","pct_Joe Biden","pct_Donald Trump","pct_Other","ts","ts_datetime","ts_pretty","leader","at_least_50pct_in","leader_margin","leader_margin_safe","leader_margin_abs"
"01009","Blount","AL",100,27588,2640,24711,237,9.6,89.6,0.800000000000011,"2021-03-07T03:17:31Z",2021-03-07 03:17:31,"March 7, 2021 3:17 AM","Trump","50pctExpVoteIn",-80,-80,80
"01001","Autauga","AL",100,27770,7503,19838,429,27,71.4,1.59999999999999,"2020-12-10T01:14:32Z",2020-12-10 01:14:32,"December 10, 2020 1:14 AM","Trump","50pctExpVoteIn",-44.4,-44.4,44.4
"01019","Cherokee","AL",100,12301,1624,10583,94,13.2,86,0.799999999999997,"2020-12-10T01:18:28Z",2020-12-10 01:18:28,"December 10, 2020 1:18 AM","Trump","50pctExpVoteIn",-72.8,-72.8,72.8
"01003","Baldwin","AL",100,109679,24578,83544,1557,22.4,76.2,1.40000000000001,"2020-12-10T01:36:30Z",2020-12-10 01:36:30,"December 10, 2020 1:36 AM","Trump","50pctExpVoteIn",-53.8,-53.8,53.8
"01015","Calhoun","AL",100,50983,15216,35101,666,29.8,68.8,1.40000000000001,"2021-03-07T03:11:28Z",2021-03-07 03:11:28,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-39,-39,39
"01021","Chilton","AL",100,19310,3073,16085,152,15.9,83.3,0.799999999999997,"2021-03-07T03:11:35Z",2021-03-07 03:11:35,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-67.4,-67.4,67.4
"01035","Conecuh","AL",100,6441,2966,3442,33,46,53.4,0.599999999999994,"2021-03-07T03:12:21Z",2021-03-07 03:12:21,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-7.4,-7.4,7.4
"01029","Cleburne","AL",100,7227,675,6484,68,9.3,89.7,1,"2021-03-07T03:12:00Z",2021-03-07 03:12:00,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-80.4,-80.4,80.4
"01007","Bibb","AL",100,9595,1986,7525,84,20.7,78.4,0.899999999999991,"2020-12-10T01:16:44Z",2020-12-10 01:16:44,"December 10, 2020 1:16 AM","Trump","50pctExpVoteIn",-57.7,-57.7,57.7
"01017","Chambers","AL",100,15284,6365,8753,166,41.6,57.3,1.09999999999999,"2020-12-10T01:18:12Z",2020-12-10 01:18:12,"December 10, 2020 1:18 AM","Trump","50pctExpVoteIn",-15.7,-15.7,15.7
"01005","Barbour","AL",100,10518,4816,5622,80,45.8,53.5,0.700000000000003,"2021-03-07T03:11:09Z",2021-03-07 03:11:09,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-7.7,-7.7,7.7
"01039","Covington","AL",100,17430,2721,14586,123,15.6,83.7,0.700000000000003,"2021-03-07T03:12:37Z",2021-03-07 03:12:37,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-68.1,-68.1,68.1
"01049","DeKalb","AL",100,29356,4281,24767,308,14.6,84.4,1,"2020-12-10T01:22:18Z",2020-12-10 01:22:18,"December 10, 2020 1:22 AM","Trump","50pctExpVoteIn",-69.8,-69.8,69.8
"01033","Colbert","AL",100,27886,8343,19203,340,29.9,68.9,1.19999999999999,"2021-03-07T03:12:14Z",2021-03-07 03:12:14,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-39,-39,39
"01027","Clay","AL",100,6930,1267,5601,62,18.3,80.8,0.900000000000006,"2021-03-07T03:11:55Z",2021-03-07 03:11:55,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-62.5,-62.5,62.5
"01041","Crenshaw","AL",100,6617,1700,4864,53,25.7,73.5,0.799999999999997,"2021-03-07T03:12:42Z",2021-03-07 03:12:42,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-47.8,-47.8,47.8
"01013","Butler","AL",100,9488,3965,5458,65,41.8,57.5,0.700000000000003,"2021-03-07T03:11:19Z",2021-03-07 03:11:19,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-15.7,-15.7,15.7
"01075","Lamar","AL",100,7193,978,6174,41,13.6,85.8,0.600000000000009,"2021-03-07T03:14:12Z",2021-03-07 03:14:12,"March 7, 2021 3:14 AM","Trump","50pctExpVoteIn",-72.2,-72.2,72.2
"01023","Choctaw","AL",100,7464,3127,4296,41,41.9,57.6,0.5,"2021-03-07T03:11:42Z",2021-03-07 03:11:42,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-15.7,-15.7,15.7
"01037","Coosa","AL",100,5479,1796,3631,52,32.8,66.3,0.900000000000006,"2021-03-07T03:12:28Z",2021-03-07 03:12:28,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-33.5,-33.5,33.5
"01055","Etowah","AL",100,47728,11567,35528,633,24.2,74.4,1.39999999999999,"2021-03-07T03:13:30Z",2021-03-07 03:13:30,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-50.2,-50.2,50.2
"01077","Lauderdale","AL",100,44339,11915,31721,703,26.9,71.5,1.59999999999999,"2020-12-10T01:26:07Z",2020-12-10 01:26:07,"December 10, 2020 1:26 AM","Trump","50pctExpVoteIn",-44.6,-44.6,44.6
"01031","Coffee","AL",100,22275,5076,16899,300,22.8,75.9,1.3,"2021-03-07T03:12:05Z",2021-03-07 03:12:05,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-53.1,-53.1,53.1
"01065","Hale","AL",99.9493942,7900,4663,3192,45,59,40.4,0.599999999999994,"2021-03-07T03:13:53Z",2021-03-07 03:13:53,"March 7, 2021 3:13 AM","Biden","50pctExpVoteIn",18.6,18.6,18.6
"01025","Clarke","AL",100,13135,5755,7324,56,43.8,55.8,0.400000000000006,"2021-03-07T03:11:49Z",2021-03-07 03:11:49,"March 7, 2021 3:11 AM","Trump","50pctExpVoteIn",-12,-12,12
"01059","Franklin","AL",100,12578,2086,10376,116,16.6,82.5,0.900000000000006,"2021-03-07T03:13:41Z",2021-03-07 03:13:41,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-65.9,-65.9,65.9
"01079","Lawrence","AL",100,16031,3562,12322,147,22.2,76.9,0.899999999999991,"2021-03-07T03:14:20Z",2021-03-07 03:14:20,"March 7, 2021 3:14 AM","Trump","50pctExpVoteIn",-54.7,-54.7,54.7
"01053","Escambia","AL",100,15910,4918,10869,123,30.9,68.3,0.800000000000011,"2021-03-07T03:13:24Z",2021-03-07 03:13:24,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-37.4,-37.4,37.4
"01067","Henry","AL",100,9298,2606,6607,85,28,71.1,0.900000000000006,"2020-12-10T01:24:44Z",2020-12-10 01:24:44,"December 10, 2020 1:24 AM","Trump","50pctExpVoteIn",-43.1,-43.1,43.1
"01061","Geneva","AL",100,12545,1595,10848,102,12.7,86.5,0.799999999999997,"2021-03-07T03:13:46Z",2021-03-07 03:13:46,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-73.8,-73.8,73.8
"01081","Lee","AL",100,71449,27860,42221,1368,39,59.1,1.90000000000001,"2020-12-10T01:26:43Z",2020-12-10 01:26:43,"December 10, 2020 1:26 AM","Trump","50pctExpVoteIn",-20.1,-20.1,20.1
"01069","Houston","AL",100,46173,12917,32618,638,28,70.6,1.40000000000001,"2021-03-07T03:13:58Z",2021-03-07 03:13:58,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-42.6,-42.6,42.6
"01043","Cullman","AL",100,41851,4478,36880,493,10.7,88.1,1.2,"2021-03-07T03:12:50Z",2021-03-07 03:12:50,"March 7, 2021 3:12 AM","Trump","50pctExpVoteIn",-77.4,-77.4,77.4
"01057","Fayette","AL",100,8766,1395,7300,71,15.9,83.3,0.799999999999997,"2021-03-07T03:13:35Z",2021-03-07 03:13:35,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-67.4,-67.4,67.4
"01103","Morgan","AL",100,53722,13234,39664,824,24.6,73.8,1.59999999999999,"2021-03-07T03:15:10Z",2021-03-07 03:15:10,"March 7, 2021 3:15 AM","Trump","50pctExpVoteIn",-49.2,-49.2,49.2
"01011","Bullock","AL",100,4613,3446,1146,21,74.7,24.8,0.5,"2021-03-07T03:17:25Z",2021-03-07 03:17:25,"March 7, 2021 3:17 AM","Biden","50pctExpVoteIn",49.9,49.9,49.9
"01051","Elmore","AL",100,41030,10367,30164,499,25.3,73.5,1.2,"2021-03-07T03:13:18Z",2021-03-07 03:13:18,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-48.2,-48.2,48.2
"01085","Lowndes","AL",100,6835,4972,1836,27,72.7,26.9,0.400000000000006,"2021-03-07T03:14:27Z",2021-03-07 03:14:27,"March 7, 2021 3:14 AM","Biden","50pctExpVoteIn",45.8,45.8,45.8
"01045","Dale","AL",100,19738,5170,14303,265,26.2,72.5,1.3,"2021-03-07T03:13:00Z",2021-03-07 03:13:00,"March 7, 2021 3:13 AM","Trump","50pctExpVoteIn",-46.3,-46.3,46.3
"01119","Sumter","AL",100,6291,4648,1598,45,73.9,25.4,0.699999999999989,"2021-03-07T03:15:53Z",2021-03-07 03:15:53,"March 7, 2021 3:15 AM","Biden","50pctExpVoteIn",48.5,48.5,48.5
"01073","Jefferson","AL",100,325848,181688,138843,5317,55.8,42.6,1.59999999999999,"2021-03-07T03:14:05Z",2021-03-07 03:14:05,"March 7, 2021 3:14 AM","Biden","50pctExpVoteIn",13.2,13.2,13.2
"01047","Dallas","AL",100,17864,12230,5524,110,68.5,30.9,0.599999999999994,"2021-03-07T03:13:12Z",2021-03-07 03:13:12,"March 7, 2021 3:13 AM","Biden","50pctExpVoteIn",37.6,37.6,37.6
