"state","totalExpVote","pctExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote_NEW","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"IL",2231582,99.28759,1111778,2024-11-05 21:11:40,744753,353633,NA,13392,49.8201724158019,66.9875640640488,31.8078789110776,"Updated: November 5, 2024 9:11 PM ET","00000","Harris","20pctExpVoteIn",35.1796851529712,35.1796851529712,35.1796851529712,NA
"AL",26895,0,0,2024-11-05 06:42:18,0,0,"Autauga County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01001","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",106220,1.66729426,1771,2024-11-05 21:04:54,432,1339,"Baldwin County, Alabama",0,1.66729429485973,24.3929983060418,75.6070016939582,"Updated: November 5, 2024 9:04 PM ET","01003","Trump","lessThan20pctIn",-51.2140033879164,NA,NA,NA
"AL",10187,0,0,2024-11-05 06:42:18,0,0,"Barbour County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01005","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",9293,15.9690084,1484,2024-11-05 21:20:51,498,974,"Bibb County, Alabama",12,15.9690089314538,33.5579514824798,65.633423180593,"Updated: November 5, 2024 9:20 PM ET","01007","Trump","lessThan20pctIn",-32.0754716981132,NA,NA,NA
"AL",26718,30.5449524,8161,2024-11-05 21:20:50,745,7371,"Blount County, Alabama",45,30.5449509693839,9.12878323734837,90.3198137483152,"Updated: November 5, 2024 9:20 PM ET","01009","Trump","20pctExpVoteIn",-81.1910305109668,-81.1910305109668,81.1910305109668,NA
"AL",4468,0,0,2024-11-05 06:42:18,0,0,"Bullock County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01011","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",9189,22.951355,2109,2024-11-05 21:09:16,842,1254,"Butler County, Alabama",13,22.9513548808358,39.9241346609768,59.4594594594595,"Updated: November 5, 2024 9:09 PM ET","01013","Trump","20pctExpVoteIn",-19.5353247984827,-19.5353247984827,19.5353247984827,NA
"AL",49375,0,0,2024-11-05 06:42:18,0,0,"Calhoun County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01015","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",14802,0,0,2024-11-05 06:42:18,0,0,"Chambers County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01017","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",11913,0,0,2024-11-05 06:42:18,0,0,"Cherokee County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01019","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",18701,44.0832062,8244,2024-11-05 21:15:34,930,7235,"Chilton County, Alabama",79,44.0832041067323,11.2809315866084,87.760795730228,"Updated: November 5, 2024 9:15 PM ET","01021","Trump","20pctExpVoteIn",-76.4798641436196,-76.4798641436196,76.4798641436196,NA
"AL",7229,0,0,2024-11-05 06:42:19,0,0,"Choctaw County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01023","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",12721,6.744753,858,2024-11-05 20:35:49,289,564,"Clarke County, Alabama",5,6.74475277100857,33.6829836829837,65.7342657342657,"Updated: November 5, 2024 8:35 PM ET","01025","Trump","lessThan20pctIn",-32.051282051282,NA,NA,NA
"AL",6712,0,0,2024-11-05 06:42:19,0,0,"Clay County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01027","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",7000,0,0,2024-11-05 06:42:19,0,0,"Cleburne County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01029","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",21573,4.723497,1019,2024-11-05 21:20:54,152,861,"Coffee County, Alabama",6,4.72349696379734,14.9165848871443,84.4946025515211,"Updated: November 5, 2024 9:20 PM ET","01031","Trump","lessThan20pctIn",-69.5780176643768,NA,NA,NA
"AL",27007,0,0,2024-11-05 06:42:19,0,0,"Colbert County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01033","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",6238,0,0,2024-11-05 06:42:19,0,0,"Conecuh County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01035","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",5307,0,0,2024-11-05 06:42:19,0,0,"Coosa County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01037","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",16881,14.9398727,2522,2024-11-05 20:59:20,353,2158,"Covington County, Alabama",11,14.9398732302589,13.9968279143537,85.5670103092783,"Updated: November 5, 2024 8:59 PM ET","01039","Trump","lessThan20pctIn",-71.5701823949247,NA,NA,NA
"AL",6409,42.5807457,2729,2024-11-05 21:14:01,407,2310,"Crenshaw County, Alabama",12,42.5807458261819,14.913887871015,84.6463906192745,"Updated: November 5, 2024 9:14 PM ET","01041","Trump","20pctExpVoteIn",-69.7325027482594,-69.7325027482594,69.7325027482594,NA
"AL",40531,15.2303171,6173,2024-11-05 21:20:51,584,5549,"Cullman County, Alabama",40,15.2303175347265,9.46055402559533,89.8914628219666,"Updated: November 5, 2024 9:20 PM ET","01043","Trump","lessThan20pctIn",-80.4309087963713,NA,NA,NA
"AL",19116,0,0,2024-11-05 06:42:19,0,0,"Dale County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01045","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",17301,0,0,2024-11-05 06:42:19,0,0,"Dallas County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01047","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",28431,0,0,2024-11-05 06:42:19,0,0,"DeKalb County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01049","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",39736,0,0,2024-11-05 06:42:19,0,0,"Elmore County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01051","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",15409,21.6756439,3340,2024-11-05 21:07:43,395,2922,"Escambia County, Alabama",23,21.675644104095,11.8263473053892,87.4850299401198,"Updated: November 5, 2024 9:07 PM ET","01053","Trump","20pctExpVoteIn",-75.6586826347305,-75.6586826347305,75.6586826347305,NA
"AL",46223,0,0,2024-11-05 06:42:19,0,0,"Etowah County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01055","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",8490,29.1283875,2473,2024-11-05 21:02:55,426,2033,"Fayette County, Alabama",14,29.1283863368669,17.2260412454509,82.2078447230085,"Updated: November 5, 2024 9:02 PM ET","01057","Trump","20pctExpVoteIn",-64.9818034775576,-64.9818034775576,64.9818034775576,NA
"AL",12182,7.026761,856,2024-11-05 21:12:46,283,568,"Franklin County, Alabama",5,7.02676079461501,33.0607476635514,66.3551401869159,"Updated: November 5, 2024 9:12 PM ET","01059","Trump","lessThan20pctIn",-33.2943925233645,NA,NA,NA
"AL",12150,0,0,2024-11-05 06:42:20,0,0,"Geneva County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01061","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",4625,0,0,2024-11-05 06:42:20,0,0,"Greene County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01063","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",7651,0,0,2024-11-05 06:42:20,0,0,"Hale County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01065","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",9005,95,9310,2024-11-05 21:23:46,2259,6983,"Henry County, Alabama",68,103.387007218212,24.2642320085929,75.0053705692803,"Updated: November 5, 2024 9:23 PM ET","01067","Trump","20pctExpVoteIn",-50.7411385606874,-50.7411385606874,50.7411385606874,NA
"AL",44717,0,0,2024-11-05 06:42:20,0,0,"Houston County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01069","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",22891,0,0,2024-11-05 06:42:20,0,0,"Jackson County, Alabama",0,0,NA,NA,"Updated: November 5, 2024 6:42 AM ET","01071","NA","lessThan20pctIn",NA,NA,NA,NA
